transcript	si-eIF5A-1
YDR536W_mRNA	0.0017574692442882249
YAL046C_mRNA	0.7033898305084746
YOR060C_mRNA	0.28793774319066145
YMR267W_mRNA	0.22580645161290322
YGL139W_mRNA	0.17206982543640897
YML100W-A_mRNA	0.0
YBR141W-A_mRNA	0.0967741935483871
YIL007C_mRNA	0.5636363636363636
YNL097W-A_mRNA	0.0
YCR076C_mRNA	0.696
YKL117W_mRNA	0.8055555555555556
YNL272C_mRNA	0.4005270092226614
YMR059W_mRNA	0.3828125
YJL062W_mRNA	0.15060240963855423
YHR170W_mRNA	0.4015444015444015
YMR035W_mRNA	0.1807909604519774
YGL187C_mRNA	0.8193548387096774
YOR277C_mRNA	0.0
YOR084W_mRNA	0.0
YHR139C_mRNA	0.012269938650306749
YMR040W_mRNA	0.03125
YDL027C_mRNA	0.3238095238095238
YAR028W_mRNA	0.3162393162393162
YDR345C_mRNA	0.48500881834215165
YLR297W_mRNA	0.26356589147286824
YKL212W_mRNA	0.5200642054574639
YBR173C_mRNA	0.9054054054054054
YHR194W_mRNA	0.08635578583765112
YIL171W-A_mRNA	0.0
YDR163W_mRNA	0.4857142857142857
YMR086C-A_mRNA	0.0
YER033C_mRNA	0.16728624535315986
YML083C_mRNA	0.0
YIR017C_mRNA	0.25668449197860965
YBR191W-A_mRNA	0.20833333333333334
YGL253W_mRNA	0.6995884773662552
YHR079C_mRNA	0.19192825112107623
YGR292W_mRNA	0.0
YDR496C_mRNA	0.6875
YKR079C_mRNA	0.26610978520286394
YLL058W_mRNA	0.19652173913043477
YDR525W_mRNA	0.009174311926605505
YGL134W_mRNA	0.06235565819861432
YPR116W_mRNA	0.09025270758122744
YOL031C_mRNA	0.40617577197149646
YOR248W_mRNA	0.08
YPL200W_mRNA	0.0
YLR237W_mRNA	0.1688963210702341
YPR162C_mRNA	0.3667296786389414
YOR071C_mRNA	0.07525083612040134
YGR119C_mRNA	0.8299445471349353
YMR089C_mRNA	0.2993939393939394
YJR141W_mRNA	0.04899135446685879
YKL139W_mRNA	0.21022727272727273
YOL061W_mRNA	0.4939516129032258
YGR252W_mRNA	0.2505694760820046
YLR427W_mRNA	0.09104477611940298
YDL151C_mRNA	0.0
YDR122W_mRNA	0.2631578947368421
YBR074W_mRNA	0.33299180327868855
YDR015C_mRNA	0.0
YNR007C_mRNA	0.5032258064516129
YDL216C_mRNA	0.20909090909090908
YLR394W_mRNA	0.014522821576763486
YER186C_mRNA	0.00980392156862745
YER115C_mRNA	0.16753926701570682
YGL133W_mRNA	0.22943037974683544
YAL023C_mRNA	0.5797101449275363
YIL132C_mRNA	0.10328638497652583
YIL115W-A_mRNA	0.0
YNL046W_mRNA	0.22093023255813954
YGL212W_mRNA	0.46835443037974683
YDR203W_mRNA	0.0
YMR147W_mRNA	0.2600896860986547
YIL156W-B_mRNA	0.7123287671232876
YGL195W_mRNA	0.3671407185628742
YNL247W_mRNA	0.47196870925684486
YMR176W_mRNA	0.021970233876683204
YMR175W_mRNA	0.13924050632911392
YDL164C_mRNA	0.16688741721854305
YBR096W_mRNA	0.45652173913043476
YHR091C_mRNA	0.1290824261275272
YOR083W_mRNA	0.22033898305084745
YJL047C_mRNA	0.20902612826603326
YEL066W_mRNA	0.5698324022346368
YKL205W_mRNA	0.21454545454545454
YFL034C-B_mRNA	0.5749128919860628
YLL050C_mRNA	0.9440559440559441
YDL136W_mRNA	0.13333333333333333
YLR219W_mRNA	0.26785714285714285
YDL068W_mRNA	0.0
YFL061W_mRNA	0.0
YBR238C_mRNA	0.20383036935704515
YDR263C_mRNA	0.0069767441860465115
YBR078W_mRNA	0.7296037296037297
YML071C_mRNA	0.357495881383855
YHR201C_mRNA	0.7304785894206549
YMR016C_mRNA	0.25477707006369427
YLR307W_mRNA	0.0033222591362126247
YLR081W_mRNA	0.005226480836236934
YDL133C-A_mRNA	0.2
YLR140W_mRNA	0.10185185185185185
YDR103W_mRNA	0.2595419847328244
YPR182W_mRNA	0.5697674418604651
YML059C_mRNA	0.3293627159023228
YER050C_mRNA	0.8188405797101449
YBR003W_mRNA	0.1733615221987315
YLR132C_mRNA	0.20344827586206896
YNL160W_mRNA	0.7090395480225988
YPL156C_mRNA	0.647887323943662
YHR215W_mRNA	0.019271948608137045
YPL040C_mRNA	0.14870259481037923
YPL032C_mRNA	0.3381818181818182
YER181C_mRNA	0.0
YJL014W_mRNA	0.6329588014981273
YOR162C_mRNA	0.19753086419753085
YDL005C_mRNA	0.5498839907192575
YBL034C_mRNA	0.16721744877726372
YML074C_mRNA	0.8248175182481752
YMR165C_mRNA	0.4767981438515081
YGR001C_mRNA	0.7217741935483871
YER064C_mRNA	0.8138613861386138
YDL159W-A_mRNA	0.0
YLR316C_mRNA	0.468944099378882
YIL001W_mRNA	0.18908382066276802
YHR140W_mRNA	0.08786610878661087
YJL026W_mRNA	0.5939849624060151
YDR141C_mRNA	0.33510011778563015
YJL207C_mRNA	0.18768619662363456
YOL152W_mRNA	0.014516129032258065
YDR044W_mRNA	0.3902439024390244
YHR038W_mRNA	0.1956521739130435
YIL014W_mRNA	0.10476190476190476
YDR235W_mRNA	0.1323529411764706
YOR299W_mRNA	0.16219839142091153
YJL063C_mRNA	0.5462184873949579
YLR422W_mRNA	0.04089026915113872
YKL042W_mRNA	0.2396694214876033
YBR296C_mRNA	0.8275261324041812
YAL024C_mRNA	0.10174216027874565
YLR346C_mRNA	0.1782178217821782
YPL139C_mRNA	0.3978260869565217
YLR407W_mRNA	0.2982456140350877
YCL063W_mRNA	0.06855791962174941
YER015W_mRNA	0.030913978494623656
YLR424W_mRNA	0.059322033898305086
YNL204C_mRNA	0.0
YDL245C_mRNA	0.0
YPL158C_mRNA	0.262532981530343
YOR368W_mRNA	0.0399002493765586
YJR047C_mRNA	0.012738853503184714
YPR007C_mRNA	0.016176470588235296
YPL250W-A_mRNA	0.0
YGR095C_mRNA	0.6233183856502242
YOR024W_mRNA	0.0
YMR318C_mRNA	0.8222222222222222
YIL155C_mRNA	0.6548536209553159
YNR075W_mRNA	0.06951871657754011
YNL081C_mRNA	0.6853146853146853
YDR181C_mRNA	0.29313929313929316
YHR203C_mRNA	0.39080459770114945
YBR103C-A_mRNA	0.0
YPR010C_mRNA	0.6807980049875312
YER063W_mRNA	0.5275229357798165
YGL141W_mRNA	0.14615384615384616
YKL026C_mRNA	0.05389221556886228
YPL234C_mRNA	0.8658536585365854
YOR246C_mRNA	0.3787878787878788
YML061C_mRNA	0.15133876600698487
YCR084C_mRNA	0.7251051893408135
YPR060C_mRNA	0.66796875
YDL210W_mRNA	0.012259194395796848
YHL007C_mRNA	0.630457933972311
YCL059C_mRNA	0.7974683544303798
YFR027W_mRNA	0.08540925266903915
YGR036C_mRNA	0.41841004184100417
YBR046C_mRNA	0.6407185628742516
YBR211C_mRNA	0.4783950617283951
YDR032C_mRNA	0.9090909090909091
YIL036W_mRNA	0.5689948892674617
YOR350C_mRNA	0.20512820512820512
YLR246W_mRNA	0.06406685236768803
YOR287C_mRNA	0.6666666666666666
YMR290W-A_mRNA	0.0
YPL282C_mRNA	0.0
YLL031C_mRNA	0.288102261553589
YDL096C_mRNA	0.0
YIL177W-A_mRNA	0.0
YDR231C_mRNA	0.7170731707317073
YPL269W_mRNA	0.03571428571428571
YAR035C-A_mRNA	0.0
YGL006W-A_mRNA	0.05555555555555555
YMR193W_mRNA	0.39147286821705424
YER176W_mRNA	0.25156110615521854
YNL024C_mRNA	0.23983739837398374
YMR097C_mRNA	0.28610354223433243
YFL045C_mRNA	0.8779527559055118
YKL070W_mRNA	0.0
YHR213W_mRNA	0.0
YML047W-A_mRNA	0.0
YBR223C_mRNA	0.18198529411764705
YCR004C_mRNA	0.8987854251012146
YIL102C_mRNA	0.019801980198019802
YER114C_mRNA	0.5019230769230769
YLR010C_mRNA	0.38125
YDR528W_mRNA	0.07801418439716312
YKL220C_mRNA	0.0028129395218002813
YHL028W_mRNA	0.008264462809917356
YLR404W_mRNA	0.12280701754385964
YEL036C_mRNA	0.446
YIL110W_mRNA	0.1989389920424403
YHR183W_mRNA	0.7505112474437627
YMR216C_mRNA	0.6037735849056604
YDR383C_mRNA	0.1722689075630252
YLR008C_mRNA	0.7440476190476191
YOR311C_mRNA	0.6448275862068965
YPR071W_mRNA	0.15165876777251186
YLL021W_mRNA	0.22510231923601637
YBR114W_mRNA	0.20759493670886076
YLR356W_mRNA	0.47715736040609136
YLR078C_mRNA	0.6434426229508197
YPR197C_mRNA	0.0106951871657754
YGL252C_mRNA	0.4744897959183674
YJL190C_mRNA	0.9230769230769231
YIL134C-A_mRNA	0.0
YMR030W_mRNA	0.1356382978723404
YER097W_mRNA	0.0
YOR328W_mRNA	0.00639386189258312
YBR192W_mRNA	0.21220159151193635
YBR298C-A_mRNA	0.0136986301369863
YHR174W_mRNA	0.5789473684210527
YGR008C_mRNA	0.9047619047619048
YEL033W_mRNA	0.007194244604316547
YGR296C-A_mRNA	0.0
YAL034W-A_mRNA	0.11764705882352941
YDR247W_mRNA	0.06724511930585683
YJL122W_mRNA	0.5142857142857142
YLR019W_mRNA	0.4156171284634761
YPL214C_mRNA	0.27037037037037037
YDR379W_mRNA	0.1466798810703667
YKL137W_mRNA	0.44144144144144143
YGL181W_mRNA	0.6616161616161617
YJR072C_mRNA	0.7844155844155845
YDR186C_mRNA	0.5781071835803877
YBR152W_mRNA	0.2027491408934708
YOR008C-A_mRNA	0.0
YMR182C_mRNA	0.46919431279620855
YPL078C_mRNA	0.8442622950819673
YDR449C_mRNA	0.49772727272727274
YLL052C_mRNA	0.15436241610738255
YER127W_mRNA	0.4257703081232493
YNL259C_mRNA	0.684931506849315
YKR060W_mRNA	0.27007299270072993
YMR153C-A_mRNA	0.0
YHR056W-A_mRNA	0.0
YJL030W_mRNA	0.37755102040816324
YIL051C_mRNA	0.9448275862068966
YGL047W_mRNA	0.30198019801980197
YGL198W_mRNA	0.48936170212765956
YKL106W_mRNA	0.21507760532150777
YGR185C_mRNA	0.8883248730964467
YPL083C_mRNA	0.2505353319057816
YNL326C_mRNA	0.2857142857142857
YDR327W_mRNA	0.0
YLR007W_mRNA	0.1875
YBL056W_mRNA	0.4658119658119658
YDR433W_mRNA	0.8904109589041096
YAL026C-A_mRNA	0.15862068965517243
YGL070C_mRNA	0.8442622950819673
YHR095W_mRNA	0.018292682926829267
YNL294C_mRNA	0.1294559099437148
YHR043C_mRNA	0.3252032520325203
YDR487C_mRNA	0.8894230769230769
YJL223C_mRNA	0.0
YGR208W_mRNA	0.42394822006472493
YJL222W-B_mRNA	0.0
Q0255_mRNA	0.0
YHR062C_mRNA	0.6245733788395904
YMR228W_mRNA	0.1935483870967742
YER058W_mRNA	0.16822429906542055
YAR070C_mRNA	0.010101010101010102
YJL144W_mRNA	0.6442307692307693
YDL101C_mRNA	0.1695906432748538
YDL012C_mRNA	0.8130841121495327
YJL086C_mRNA	0.040983606557377046
YDR022C_mRNA	0.09693877551020408
YAL016W_mRNA	0.6614173228346457
YNL297C_mRNA	0.23227383863080683
YLR172C_mRNA	0.79
YGR167W_mRNA	0.7939914163090128
YMR047C_mRNA	0.7628032345013477
YPR087W_mRNA	0.0
YJR110W_mRNA	0.09302325581395349
YFR003C_mRNA	0.8258064516129032
YJL033W_mRNA	0.34415584415584416
YHR012W_mRNA	0.48936170212765956
YLR158C_mRNA	0.0
YLL036C_mRNA	0.4115308151093439
