motif	si-Ctrl	si-eIF5A
KK	0.0037341882886441	0.00382863895037585
KK	0.03746562908126335	0.026991193573547748
KK	0.006321903482428499	0.00046538411259739994
KK	0.0035018737005478497	0.0034581696620278
KK	0.03407861477956575	0.02577083404047165
KK	0.0028345534551082003	0.0004579820779042
KK	0.00243542857119765	0.00306709342074725
KK	0.03385151007913255	0.024985175553948302
KK	0.00232504402112645	0.0003761644364447
KK	0.0023855679823034997	0.0035287866627646
KKK	0.00114605186073485	0.0002314553289252
KKK	0.0009660572730498	0.00213269143639465
KKK	0.01408509175474525	0.01228770018678
KKK	0.0009697315999351	0.000234300115285
KKK	0.00085832465648595	0.00120906940757165
KKK	0.012678197027821851	0.010278068011120151
KKK	0.00064460585151545	0.0002307423605233
KKK	0.0009133700694109999	0.0013680007771097
KKK	0.0157733480506899	0.01192249127539645
KKK	0.0008516507581868499	0.0003299427348282
KKK	0.0008560363564949	0.0014670863700785
KKK	0.015169721348012151	0.0118140244464234
KKK	0.001032533931253	0.0003319337975907
KKK	0.0007349167608576501	0.0011259958711589998
KKK	0.0163952295161259	0.0130435399405369
KKK	0.0013774548898656	0.0003474594208271
KKK	0.000798347162264	0.00130314616070475
KKK	0.015137124820435	0.011553202884588599
KKK	0.0012549609827606	0.00030120395348515
KKK	0.0008377223312434	0.0012891622627258501
KKK	0.0138930997118397	0.00886958934387955
KKK	0.00096959761240425	0.00016959084052129998
KKK	0.00078031442857555	0.0015050489683996
KKK	0.01486723102644325	0.01081600866661895
KKK	0.00102229866724395	0.00024592929620185003
KKK	0.00100548580527015	0.0014370375481847
KKK	0.01554677540755405	0.011116993920353448
KKK	0.0008786268796344	0.00012120311254455
KKK	0.00099188749399365	0.0016110191219686999
KKK	0.013474135057897199	0.0112104126704501
KKK	0.00077944209871805	0.0002489795785451
KKK	0.0009867600957307499	0.0016604338145659
KKK	0.01455877958100695	0.0120409248716017
KKK	0.00090282905799475	0.00021492129438094998
KKK	0.00139557298074325	0.00193695604765725
KKK	0.01255560876257545	0.01082511027500235
KKK	0.00021759357002535003	4.2186305420447294e-05
KKK	0.00105674766440775	0.0015119159758666002
KKK	0.010634998874730649	0.00669456724462375
KKK	0.00019844727038645	0.0001208819913962749
KKK	0.0013505009550848499	0.001896088629608
KKK	0.00951572924046195	0.00558556996040365
KKK	9.868900680399289e-05	6.15061075293207e-05
KKK	0.00091569947052905	0.00137628821856935
KKK	0.010094624855280149	0.00620384265784205
KKK	0.00047291250073415003	0.00014803905820405002
KKK	0.0009061175672107999	0.00107357393397415
KKK	0.010203702668652649	0.004279737581980549
KKK	0.00050378748121265	6.129576499784863e-05
KKK	0.0006401223937204999	0.00041479678286685
KKK	0.01552818108814815	0.0039907926435505
KKK	0.00071301242256515	9.409215150587486e-05
KKK	0.00164062569139935	0.00064499073279745
KKK	0.032232892817927246	0.006876773328307001
KKK	0.00162197441187895	0.00047761322597815003
KKK	0.0009183267017648	0.0004450811888023
KKK	0.014829940972839298	0.0033932188048986503
KKK	0.0007885341202230501	0.00027770428324810003
KKK	0.00085155695474545	0.0008356713143788501
KKK	0.01010725608689835	0.005737739143195
KKK	0.0006934332075065	0.00027386415157165
KKK	0.0007387385749766	0.0009213419545801999
KKK	0.0082837100269857	0.0071646665995664
KKK	0.0005694973001416	0.00010816503661942942
KKK	0.0007123718876863999	0.0010570867831288
KKK	0.00889951423290185	0.008636541253574801
KKK	0.000566530251296	0.00012635164878426364
KKK	0.00100359411925365	0.0015027799996449
KKK	0.0145058171710288	0.01322663552104765
KKK	0.00070106286770895	0.00016297296812645
KKK	0.0009361572010994	0.0011362182215206998
KKK	0.013361617332426249	0.012116420928085701
KKK	0.001043695951746	0.00015640384969105
KKK	0.0008523060505626499	0.00115798452417505
KKK	0.01445587085861215	0.01218249168621775
KKK	0.0008672911731839	0.00020654768097980001
KKK	0.0008726865314074	0.00117122795625825
KKK	0.014632267902383	0.011723972690255699
KKK	0.0008840546287238501	0.0003028303497799
KKK	0.0011063023746153999	0.0015374302501332498
KKK	0.01896932522355875	0.01370476223060315
KKK	0.0007464089509345	0.0007273332229564
KKK	0.00112280627041985	0.00147353729286585
KKK	0.014830429694250899	0.01085997003298635
KKK	0.00072020668478535	0.0002730224999003
KKK	0.0013243662147518999	0.0031059195052025
KKK	0.015875943337392902	0.03044539944100625
KKK	0.0009626031897732	0.00021227990595835
KKK	0.00077128177227635	0.0011558397261235498
KKK	0.0132038490435377	0.01051947658279645
KKK	0.0006704756754394	0.00040093634209704997
KKK	0.00089865984007825	0.0012435551393232
KKK	0.01675489766463165	0.01290293404705295
KKK	0.0009809652442102001	0.00035724518147705003
KKK	0.00107486497882645	0.0017526357333149
KKK	0.015541102615526249	0.011072416057706199
KKK	0.00064739766698795	0.00019182998671234998
KKK	0.00092167077779815	0.0010377385549294
KKK	0.012625160387387549	0.01005218417118825
KKK	0.0006529397209226	0.0001285214676513
KKK	0.00077942637841625	0.00143860560930685
