7127
YDL217C	TIM22	protein_coding
snR63	snR63	snoRNA
YDR334W	SWR1	protein_coding
YDL049C	KNH1	protein_coding
YDL164C	CDC9	protein_coding
YDR384C	ATO3	protein_coding
YDR149C	YDR149C	protein_coding
YDR093W	DNF2	protein_coding
YDR071C	PAA1	protein_coding
YDL143W	CCT4	protein_coding
YDR032C	PST2	protein_coding
tR(UCU)D	tR(UCU)D	tRNA
YDR063W	AIM7	protein_coding
YDL166C	FAP7	protein_coding
YDR004W	RAD57	protein_coding
YDR151C	CTH1	protein_coding
YDR037W	KRS1	protein_coding
YDL175C	AIR2	protein_coding
YDR286C	YDR286C	protein_coding
YDR172W	SUP35	protein_coding
YDL174C	DLD1	protein_coding
YDR080W	VPS41	protein_coding
YDR503C	LPP1	protein_coding
YDR069C	DOA4	protein_coding
YDR047W	HEM12	protein_coding
YDR215C	YDR215C	protein_coding
YDR267C	CIA1	protein_coding
YDR142C	PEX7	protein_coding
YDL212W	SHR3	protein_coding
YDR249C	YDR249C	protein_coding
YDL209C	CWC2	protein_coding
YDR044W	HEM13	protein_coding
tK(UUU)D	tK(UUU)D	tRNA
YDR311W	TFB1	protein_coding
YDL159C-B	YDL159C-B	protein_coding
YDR222W	YDR222W	protein_coding
YDR510C-A	YDR510C-A	protein_coding
YDR401W	YDR401W	protein_coding
YDR207C	UME6	protein_coding
YDL005C	MED2	protein_coding
YDR295C	HDA2	protein_coding
YDR543C	YDR543C	protein_coding
YDL208W	NHP2	protein_coding
YDR135C	YCF1	protein_coding
YDL114W	YDL114W	protein_coding
YDR247W	VHS1	protein_coding
YDL197C	ASF2	protein_coding
YDR229W	IVY1	protein_coding
YDR095C	YDR095C	protein_coding
YDR027C	VPS54	protein_coding
YDL106C	PHO2	protein_coding
YDR404C	RPB7	protein_coding
YDR256C	CTA1	protein_coding
YDR518W	EUG1	protein_coding
YDR055W	PST1	protein_coding
YDL087C	LUC7	protein_coding
YDR177W	UBC1	protein_coding
YDL014W	NOP1	protein_coding
YDR289C	RTT103	protein_coding
YDL159W	STE7	protein_coding
YDR532C	KRE28	protein_coding
YDR137W	RGP1	protein_coding
YDL153C	SAS10	protein_coding
YDR393W	SHE9	protein_coding
YDR506C	GMC1	protein_coding
YDL219W	DTD1	protein_coding
YDL090C	RAM1	protein_coding
YDR033W	MRH1	protein_coding
YDR035W	ARO3	protein_coding
YDR332W	IRC3	protein_coding
YDR510W	SMT3	protein_coding
YDL055C	PSA1	protein_coding
YDR480W	DIG2	protein_coding
YDL103C	QRI1	protein_coding
YDL085C-A	YDL085C-A	protein_coding
YDR350C	ATP22	protein_coding
YDR342C	HXT7	protein_coding
YDR087C	RRP1	protein_coding
YDL236W	PHO13	protein_coding
YDR012W	RPL4B	protein_coding
YDL121C	YDL121C	protein_coding
YDR525W-A	SNA2	protein_coding
tG(GCC)D2	tG(GCC)D2	tRNA
YDL190C	UFD2	protein_coding
YDL047W	SIT4	protein_coding
YDR099W	BMH2	protein_coding
YDR092W	UBC13	protein_coding
YDR164C	SEC1	protein_coding
YDR058C	TGL2	protein_coding
YDL020C	RPN4	protein_coding
YDL025C	RTK1	protein_coding
YDR374C	PHO92	protein_coding
YDL207W	GLE1	protein_coding
YDR270W	CCC2	protein_coding
YDR152W	GIR2	protein_coding
YDL148C	NOP14	protein_coding
tI(UAU)D	tI(UAU)D	tRNA
YDR379C-A	SDH6	protein_coding
YDR218C	SPR28	protein_coding
YDL018C	ERP3	protein_coding
YDR507C	GIN4	protein_coding
YDL003W	MCD1	protein_coding
YDR524C-B	YDR524C-B	protein_coding
YDR371W	CTS2	protein_coding
YDR359C	EAF1	protein_coding
YDL180W	YDL180W	protein_coding
YDL133W	SRF1	protein_coding
YDR335W	MSN5	protein_coding
YDR351W	SBE2	protein_coding
YDL150W	RPC53	protein_coding
YDL177C	YDL177C	protein_coding
YDR171W	HSP42	protein_coding
YDR364C	CDC40	protein_coding
YDR309C	GIC2	protein_coding
YDL239C	ADY3	protein_coding
YDL228C	YDL228C	protein_coding
YDL156W	CMR1	protein_coding
YDL016C	YDL016C	protein_coding
tX(XXX)D	tX(XXX)D	tRNA
YDR524W-C	YDR524W-C	protein_coding
YDL085W	NDE2	protein_coding
YDR300C	PRO1	protein_coding
YDL168W	SFA1	protein_coding
YDR360W	OPI7	protein_coding
YDR195W	REF2	protein_coding
YDR321W	ASP1	protein_coding
YDR237W	MRPL7	protein_coding
YDL127W	PCL2	protein_coding
YDR107C	TMN2	protein_coding
YDR472W	TRS31	protein_coding
YDL030W	PRP9	protein_coding
YDR468C	TLG1	protein_coding
YDL084W	SUB2	protein_coding
YDL203C	ACK1	protein_coding
YDL025W-A	YDL025W-A	protein_coding
YDR285W	ZIP1	protein_coding
YDL229W	SSB1	protein_coding
YDR329C	PEX3	protein_coding
YDR034C	LYS14	protein_coding
YDR009W	GAL3	protein_coding
tS(AGA)D2	tS(AGA)D2	tRNA
YDR488C	PAC11	protein_coding
YDR103W	STE5	protein_coding
YDR336W	MRX8	protein_coding
YDL101C	DUN1	protein_coding
YDR162C	NBP2	protein_coding
YDR312W	SSF2	protein_coding
YDL061C	RPS29B	protein_coding
YDL040C	NAT1	protein_coding
YDR145W	TAF12	protein_coding
YDR124W	YDR124W	protein_coding
YDL231C	BRE4	protein_coding
YDR190C	RVB1	protein_coding
YDL064W	UBC9	protein_coding
YDR463W	STP1	protein_coding
YDR491C	YDR491C	protein_coding
YDR449C	UTP6	protein_coding
YDL035C	GPR1	protein_coding
YDR074W	TPS2	protein_coding
YDR525W	API2	protein_coding
YDR257C	RKM4	protein_coding
YDR402C	DIT2	protein_coding
YDR450W	RPS18A	protein_coding
YDR376W	ARH1	protein_coding
YDR161W	ACL4	protein_coding
YDR090C	YDR090C	protein_coding
YDR189W	SLY1	protein_coding
YDR524C	AGE1	protein_coding
YDL237W	AIM6	protein_coding
YDR188W	CCT6	protein_coding
YDL133C-A	RPL41B	protein_coding
YDR531W	CAB1	protein_coding
tG(GCC)D1	tG(GCC)D1	tRNA
YDR226W	ADK1	protein_coding
YDL054C	MCH1	protein_coding
YDL205C	HEM3	protein_coding
YDR537C	YDR537C	protein_coding
YDR496C	PUF6	protein_coding
YDR313C	PIB1	protein_coding
YDL108W	KIN28	protein_coding
tV(CAC)D	tV(CAC)D	tRNA
YDR340W	YDR340W	protein_coding
YDL147W	RPN5	protein_coding
YDL081C	RPP1A	protein_coding
YDR283C	GCN2	protein_coding
YDR261C	EXG2	protein_coding
YDL211C	YDL211C	protein_coding
YDL074C	BRE1	protein_coding
YDL091C	UBX3	protein_coding
YDR346C	SVF1	protein_coding
YDR072C	IPT1	protein_coding
YDR242W	AMD2	protein_coding
YDR323C	PEP7	protein_coding
YDR486C	VPS60	protein_coding
YDR420W	HKR1	protein_coding
YDL122W	UBP1	protein_coding
YDR390C	UBA2	protein_coding
YDR481C	PHO8	protein_coding
YDR318W	MCM21	protein_coding
YDL105W	NSE4	protein_coding
YDL141W	BPL1	protein_coding
YDR400W	URH1	protein_coding
YDR522C	SPS2	protein_coding
YDL173W	PAR32	protein_coding
YDR279W	RNH202	protein_coding
YDR281C	PHM6	protein_coding
YDR213W	UPC2	protein_coding
YDR179W-A	NVJ3	protein_coding
YDR330W	UBX5	protein_coding
YDR106W	ARP10	protein_coding
YDL178W	DLD2	protein_coding
YDR484W	VPS52	protein_coding
YDR308C	SRB7	protein_coding
YDL192W	ARF1	protein_coding
YDL202W	MRPL11	protein_coding
YDR146C	SWI5	protein_coding
YDR241W	BUD26	protein_coding
YDL158C	YDL158C	protein_coding
YDL185W	VMA1	protein_coding
YDR251W	PAM1	protein_coding
tL(UAA)D	tL(UAA)D	tRNA
YDR192C	NUP42	protein_coding
YDR368W	YPR1	protein_coding
YDR494W	RSM28	protein_coding
YDR399W	HPT1	protein_coding
YDR070C	FMP16	protein_coding
YDR138W	HPR1	protein_coding
YDR031W	MIX14	protein_coding
YDR255C	RMD5	protein_coding
YDL060W	TSR1	protein_coding
YDR048C	YDR048C	protein_coding
YDR067C	OCA6	protein_coding
YDR126W	SWF1	protein_coding
YDR315C	IPK1	protein_coding
YDL126C	CDC48	protein_coding
YDR262W	YDR262W	protein_coding
tQ(UUG)D3	tQ(UUG)D3	tRNA
YDR345C	HXT3	protein_coding
YDR079W	PET100	protein_coding
YDR433W	YDR433W	protein_coding
YDL144C	YDL144C	protein_coding
YDR306C	YDR306C	protein_coding
YDR292C	SRP101	protein_coding
YDL009C	YDL009C	protein_coding
YDR290W	YDR290W	protein_coding
YDR282C	MRX10	protein_coding
YDR170C	SEC7	protein_coding
YDR174W	HMO1	protein_coding
YDL218W	YDL218W	protein_coding
YDL062W	YDL062W	protein_coding
YDL048C	STP4	protein_coding
YDR500C	RPL37B	protein_coding
YDR112W	IRC2	protein_coding
YDR538W	PAD1	protein_coding
YDL011C	YDL011C	protein_coding
YDR355C	YDR355C	protein_coding
YDR301W	CFT1	protein_coding
YDR412W	RRP17	protein_coding
YDR530C	APA2	protein_coding
YDR227W	SIR4	protein_coding
YDR041W	RSM10	protein_coding
YDR015C	YDR015C	protein_coding
YDL008W	APC11	protein_coding
YDR234W	LYS4	protein_coding
YDR511W	SDH7	protein_coding
YDR519W	FPR2	protein_coding
YDL086C-A	YDL086C-A	protein_coding
YDR250C	YDR250C	protein_coding
YDR465C	RMT2	protein_coding
YDL001W	RMD1	protein_coding
YDR454C	GUK1	protein_coding
YDR013W	PSF1	protein_coding
YDR076W	RAD55	protein_coding
